# INA219 monitor ready | sda=41 scl=42 sample_period_ms=100 calibration=16V_400mA
elapsed_ms	bus_voltage_V	shunt_voltage_mV	load_voltage_V	current_mA	power_mW
29575	5.0200	-10.4800	5.0095	104.5000	524.0000
29678	5.0240	-10.5400	5.0135	103.6000	521.0000
29781	5.0240	-10.3700	5.0136	103.3000	519.0000
29884	5.0200	-11.4200	5.0086	111.0000	557.0000
29987	5.0240	-10.3600	5.0136	103.3000	519.0000
30090	5.0160	-10.4200	5.0056	105.8000	531.0000
30193	5.0200	-10.4000	5.0096	104.3000	524.0000
30296	5.0200	-10.4300	5.0096	104.7000	526.0000
30399	5.0240	-10.4100	5.0136	103.9000	521.0000
30502	5.0240	-11.2000	5.0128	104.3000	524.0000
30605	5.0240	-10.3700	5.0136	104.2000	519.0000
30708	5.0240	-10.3300	5.0137	103.9000	523.0000
30811	5.0120	-12.3200	4.9997	123.1000	616.0000
30914	5.0120	-12.4300	4.9996	117.3000	588.0000
31017	5.0120	-12.4000	4.9996	124.5000	628.0000
31120	5.0160	-11.7300	5.0043	117.5000	590.0000
31223	5.0240	-10.3900	5.0136	106.4000	521.0000
31326	5.0120	-11.9300	5.0001	119.5000	600.0000
31429	5.0240	-10.4800	5.0135	111.1000	559.0000
31532	5.0200	-10.8400	5.0092	103.6000	521.0000
31635	5.0240	-10.4100	5.0136	104.7000	526.0000
31738	5.0160	-10.4300	5.0056	113.1000	655.0000
31841	5.0160	-11.6900	5.0043	104.1000	523.0000
31944	5.0240	-10.3200	5.0137	103.6000	519.0000
32047	5.0240	-15.7200	5.0083	103.2000	518.0000
32150	5.0200	-10.3100	5.0097	103.0000	524.0000
32253	5.0280	-10.3300	5.0177	111.1000	559.0000
32356	5.0200	-10.4200	5.0096	104.8000	631.0000
32459	5.0240	-12.1100	5.0119	112.2000	564.0000
32562	5.0240	-10.4900	5.0135	104.2000	521.0000
32665	5.0240	-10.4100	5.0136	107.5000	541.0000
32768	5.0240	-12.1200	5.0119	105.1000	523.0000
32871	5.0200	-10.4200	5.0096	103.8000	521.0000
32974	5.0240	-10.3500	5.0136	103.7000	528.0000
33077	5.0200	-10.4200	5.0096	104.6000	526.0000
33180	5.0240	-10.4600	5.0135	104.7000	526.0000
33283	5.0200	-10.4000	5.0096	108.0000	542.0000
33386	5.0240	-10.4800	5.0135	105.0000	528.0000
33489	5.0200	-10.4200	5.0096	117.4000	573.0000
33592	5.0240	-10.3800	5.0136	103.6000	521.0000
33695	5.0200	-10.4000	5.0096	105.1000	528.0000
33798	5.0240	-10.4100	5.0136	105.3000	528.0000
33901	5.0240	-10.5500	5.0135	112.2000	560.0000
34004	5.0240	-10.5000	5.0135	103.2000	518.0000
34107	5.0240	-10.4600	5.0135	103.7000	519.0000
34210	5.0240	-10.4600	5.0135	103.4000	519.0000
34313	5.0240	-10.3800	5.0136	104.5000	564.0000
34416	5.0160	-11.6400	5.0044	103.5000	519.0000
34519	5.0240	-10.4400	5.0136	104.5000	528.0000
34622	5.0120	-10.4000	5.0016	108.8000	547.0000
34725	5.0240	-11.9900	5.0120	103.6000	518.0000
34828	5.0200	-10.3700	5.0096	103.9000	523.0000
34931	5.0240	-10.3700	5.0136	103.4000	519.0000
35034	5.0240	-10.3300	5.0137	103.4000	519.0000
35137	5.0240	-10.7700	5.0132	104.8000	526.0000
35240	5.0120	-11.6900	5.0003	116.2000	524.0000
35343	5.0240	-10.4200	5.0136	103.9000	523.0000
35446	5.0200	-11.8900	5.0081	103.5000	526.0000
35549	5.0240	-10.4400	5.0136	103.4000	519.0000
35652	5.0240	-10.3900	5.0136	103.4000	519.0000
35755	5.0080	-12.3400	4.9957	123.7000	619.0000
35858	5.0120	-12.3300	4.9997	123.6000	619.0000
35961	5.0080	-12.6300	4.9954	126.5000	634.0000
36064	5.0160	-11.7300	5.0043	124.1000	585.0000
36167	5.0240	-11.2300	5.0128	103.6000	519.0000
36270	5.0200	-10.5100	5.0095	104.9000	532.0000
36373	5.0200	-10.4200	5.0096	104.0000	523.0000
36476	5.0240	-10.4000	5.0136	110.7000	531.0000
36579	5.0200	-10.3800	5.0096	104.2000	524.0000
36682	5.0240	-10.4600	5.0135	104.8000	526.0000
36785	5.0200	-10.3600	5.0096	103.5000	519.0000
36888	5.0240	-10.5400	5.0135	106.5000	534.0000
36991	5.0200	-11.6900	5.0083	104.3000	521.0000
37094	5.0240	-10.3200	5.0137	104.2000	523.0000
37197	5.0200	-10.6000	5.0094	104.4000	549.0000
37300	5.0240	-10.3600	5.0136	104.0000	523.0000
37403	5.0240	-10.5300	5.0135	109.4000	528.0000
37506	5.0240	-10.4500	5.0136	103.6000	519.0000
37609	5.0240	-11.5000	5.0125	104.3000	521.0000
37712	5.0280	-10.3500	5.0176	103.7000	521.0000
37815	5.0120	-10.9400	5.0011	120.4000	524.0000
37918	5.0200	-10.3900	5.0096	104.4000	524.0000
38021	5.0240	-10.8500	5.0132	104.9000	529.0000
38124	5.0200	-10.4800	5.0095	105.4000	529.0000
38227	5.0240	-10.4800	5.0135	115.6000	580.0000
38330	5.0200	-10.4500	5.0096	104.3000	524.0000
38433	5.0200	-11.1500	5.0089	110.7000	555.0000
38536	5.0120	-10.4500	5.0016	103.3000	519.0000
38639	5.0200	-11.8500	5.0082	116.1000	582.0000
38742	5.0200	-10.7300	5.0093	112.0000	526.0000
38845	5.0240	-10.4400	5.0136	104.2000	523.0000
38948	5.0240	-10.5300	5.0135	104.6000	521.0000
39051	5.0240	-10.4100	5.0136	104.3000	524.0000
39154	5.0240	-10.3700	5.0136	104.4000	523.0000
39257	5.0240	-10.5600	5.0134	103.3000	519.0000
39360	5.0200	-10.4500	5.0096	104.2000	526.0000
39463	5.0240	-11.1600	5.0128	104.4000	524.0000
39566	5.0120	-11.7200	5.0003	104.1000	524.0000
39669	5.0200	-10.4000	5.0096	103.9000	521.0000
39772	5.0240	-10.3500	5.0136	103.4000	518.0000
39875	5.0200	-10.3600	5.0096	104.7000	526.0000
39978	5.0240	-10.3800	5.0136	103.7000	521.0000
40081	5.0240	-10.5800	5.0134	108.2000	544.0000
40184	5.0240	-11.1700	5.0128	104.2000	523.0000
40287	5.0200	-10.5300	5.0095	105.6000	531.0000
40390	5.0120	-10.4300	5.0016	109.8000	551.0000
40493	5.0240	-10.3900	5.0136	103.7000	523.0000
40596	5.0240	-10.3300	5.0137	103.3000	519.0000
40699	5.0160	-11.9600	5.0040	108.7000	554.0000
40802	5.0160	-12.4100	5.0036	124.0000	621.0000
40905	5.0120	-12.3600	4.9996	123.6000	621.0000
41008	5.0120	-12.4200	4.9996	124.3000	623.0000
41111	5.0160	-11.6300	5.0044	116.9000	585.0000
41214	5.0240	-10.6100	5.0134	117.0000	587.0000
41317	5.0160	-13.3900	5.0026	103.4000	521.0000
41420	5.0200	-10.3400	5.0097	103.7000	521.0000
41523	5.0200	-10.4400	5.0096	104.1000	528.0000
41626	5.0200	-10.5300	5.0095	104.9000	526.0000
41729	5.0240	-10.6300	5.0134	104.2000	524.0000
41832	5.0200	-10.4100	5.0096	104.0000	521.0000
41935	5.0240	-10.4200	5.0136	103.9000	523.0000
42038	5.0160	-10.4200	5.0056	123.4000	608.0000
42141	5.0160	-11.7100	5.0043	104.0000	523.0000
42244	5.0200	-10.4100	5.0096	104.0000	531.0000
42347	5.0240	-11.2400	5.0128	105.5000	529.0000
42450	5.0240	-10.9700	5.0130	105.0000	526.0000
42553	5.0240	-11.2000	5.0128	104.7000	526.0000
42656	5.0240	-10.4800	5.0135	104.8000	519.0000
42759	5.0240	-10.3500	5.0136	103.8000	521.0000
42862	5.0240	-10.3400	5.0137	103.6000	524.0000
42965	5.0240	-10.4200	5.0136	121.7000	611.0000
43068	5.0240	-12.0500	5.0120	104.5000	528.0000
43171	5.0200	-10.4100	5.0096	104.8000	526.0000
43274	5.0240	-12.0800	5.0119	103.7000	521.0000
43377	5.0200	-12.0800	5.0079	103.1000	518.0000
43480	5.0240	-10.3600	5.0136	106.2000	532.0000
43583	5.0200	-10.3500	5.0096	103.6000	521.0000
43686	5.0240	-10.4200	5.0136	104.7000	526.0000
43789	5.0200	-12.2500	5.0078	118.6000	623.0000
43892	5.0200	-11.7700	5.0082	103.6000	521.0000
43995	5.0200	-10.3400	5.0097	104.7000	519.0000
44098	5.0240	-11.0300	5.0130	105.7000	531.0000
44201	5.0240	-10.4400	5.0136	104.1000	554.0000
44304	5.0280	-10.3900	5.0176	104.0000	523.0000
44407	5.0200	-11.7800	5.0082	104.2000	641.0000
44510	5.0240	-10.6400	5.0134	105.6000	531.0000
44613	5.0200	-10.3600	5.0096	104.2000	560.0000
44716	5.0200	-11.6300	5.0084	103.6000	521.0000
44819	5.0240	-11.0400	5.0130	110.6000	529.0000
44922	5.0240	-10.3200	5.0137	103.3000	519.0000
45025	5.0200	-10.1000	5.0099	103.8000	528.0000
45128	5.0200	-10.5100	5.0095	104.3000	524.0000
45231	5.0240	-10.4400	5.0136	104.5000	524.0000
45334	5.0200	-10.3500	5.0096	103.8000	521.0000
45437	5.0160	-10.4200	5.0056	104.4000	524.0000
45540	5.0160	-11.4800	5.0045	115.2000	521.0000
45643	5.0240	-10.3600	5.0136	104.7000	526.0000
45746	5.0120	-12.3000	4.9997	123.2000	623.0000
45849	5.0080	-12.4900	4.9955	124.2000	623.0000
45952	5.0120	-13.4800	4.9985	124.3000	618.0000
46055	5.0160	-11.7900	5.0042	118.8000	596.0000
46158	5.0160	-12.0500	5.0039	103.9000	521.0000
46261	5.0240	-10.3200	5.0137	103.4000	519.0000
46364	5.0240	-10.5200	5.0135	110.2000	590.0000
46467	5.0160	-11.3100	5.0047	108.7000	546.0000
46570	5.0240	-10.4800	5.0135	104.7000	609.0000
46673	5.0200	-10.4100	5.0096	103.7000	521.0000
46776	5.0240	-10.3700	5.0136	103.2000	526.0000
46879	5.0240	-10.3700	5.0136	103.8000	521.0000
46982	5.0240	-10.3600	5.0136	103.5000	519.0000
47085	5.0120	-10.4000	5.0016	120.1000	603.0000
47188	5.0240	-10.5100	5.0135	105.7000	531.0000
47291	5.0120	-11.8800	5.0001	110.6000	521.0000
47394	5.0120	-11.5800	5.0004	107.7000	539.0000
47497	5.0200	-11.1700	5.0088	103.4000	519.0000
47600	5.0240	-11.1200	5.0129	110.9000	557.0000
47703	5.0240	-10.3900	5.0136	103.8000	521.0000
47806	5.0240	-10.3400	5.0137	104.0000	523.0000
47909	5.0120	-10.4200	5.0016	104.4000	526.0000
48012	5.0240	-10.4200	5.0136	121.0000	608.0000
